, ,,,Total ,Sales and,Net Demand
NAICS, ,,Transfers ,Onsite,Transfers,for
Code(a),Subsector and Industry,Purchases, In(b),Generation(c),Offsite,Electricity(d)
,,,,,,
,,Total United States,,,,
311,Food,91916,102,2964,127,94854
 3112, Grain and Oilseed Milling,14689,28,1025,23,15720
   311221,   Wet Corn Milling,6035,0,562,22,6575
  31131,  Sugar Manufacturing,1113,66,895,36,2038
 3114, Fruit and Vegetable Preserving and Specialty Food ,9945,0,612,41,10516
 3115, Dairy Product,11509,0,79,18,11570
 3116, Animal Slaughtering and Processing,31666,Q,26,Q,31698
312,Beverage and Tobacco Products,14184,0,261,3,14442
 3121, Beverages,13418,0,241,3,13657
 3122, Tobacco ,766,0,19,*,785
313,Textile Mills,10879,3,80,12,10949
314,Textile Product Mills,2842,0,Q,Q,2858
315,Apparel,722,*,2,*,724
316,Leather and Allied Products,226,0,0,0,226
321,Wood Products,21761,Q,1840,1077,22526
   321113,   Sawmills,8180,0,1439,969,8650
 3212," Veneer, Plywood, and Engineered Woods",6817,0,290,108,6999
   321219,   Reconstituted Wood Products,4289,0,133,0,4423
 3219, Other Wood Products,6310,Q,Q,1,6422
322,Paper,55952,9,40518,5372,91108
   322110,   Pulp Mills,2033,0,6505,523,8015
   322121,"   Paper Mills, except Newsprint",17888,9,15940,2678,31159
   322122,   Newsprint Mills,4946,0,432,0,5378
   322130,   Paperboard Mills,18401,0,17380,2113,33668
323,Printing and Related Support,10032,0,Q,Q,10044
324,Petroleum and Coal Products,54317,3813,19678,6114,71694
   324110,   Petroleum Refineries,50007,3812,18817,5340,67296
   324121,   Asphalt Paving Mixture and Block,1378,1,7,*,1386
   324122,   Asphalt Shingle and Coating Materials,930,0,1,0,930
   324191,   Petroleum Lubricating Oil and Grease Products,1393,0,*,53,1340
   324199,   Other Petroleum and Coal Products,610,*,853,720,742
325,Chemicals,157413,3066,60634,13664,207450
   325110,   Petrochemicals,7416,487,3984,958,10929
   325120,   Industrial Gases,22641,Q,3564,1456,25176
   325180,   Other Basic Inorganic Chemicals,28642,1714,13552,636,43271
   325193,   Ethyl Alcohol ,10628,191,2747,98,13469
   325194,"   Cyclic Crudes, Intermediate and Gum and Wood Chemicals",3515,0,103,375,3243
   325199,   Other Basic Organic Chemicals,20931,247,11698,2208,30668
   325211,   Plastics Materials and Resins,24174,0,21939,7293,38820
   325212,   Synthetic Rubber,1417,0,274,32,1659
   325220,   Artificial and Synthetic Fibers and Filaments,2728,0,275,34,2969
   325311,   Nitrogenous Fertilizers,5137,0,541,6,5672
   325312,   Phosphatic Fertilizers,2085,0,592,206,2470
 3254, Pharmaceuticals and Medicines,10447,*,673,16,11104
   325412,   Pharmaceutical Preparation,6115,*,76,2,6189
   325992,"   Photographic Film, Paper, Plate, and Chemicals",923,0,*,3,921
326,Plastics and Rubber Products,49327,0,Q,Q,49342
327,Nonmetallic Mineral Products,37910,Q,270,47,38145
   327120 ,   Clay Building Material and Refractories,1767,*,2,0,1770
   327211,   Flat Glass,1419,0,*,0,1420
   327212,   Other Pressed and Blown Glass and Glassware,2123,0,Q,Q,2135
   327213,   Glass Containers,3447,0,0,0,3447
   327215,   Glass Products from Purchased Glass,3670,0,9,3,3676
   327310,   Cements,11421,0,24,0,11444
   327410,   Lime,1398,0,14,14,1398
   327420,   Gypsum,1541,0,Q,0,1583
   327993,   Mineral Wool,3110,0,1,0,3111
331,Primary Metals,113382,0,8627,540,121469
   331110,   Iron and Steel Mills and Ferroalloys,56170,0,4884,539,60516
 3312, Steel Products from Purchased Steel,6914,0,4,*,6919
 3313, Alumina and Aluminum,26260,0,3711,0,29971
   331314,   Secondary Smelting and Alloying of Aluminum,780,0,*,0,780
   331315,"   Aluminum Sheet, Plate and Foils",5377,0,0,0,5377
   331318,"   Other Aluminum Rolling, Drawing and Extruding",1917,0,*,0,1917
 3314," Nonferrous Metals, except Aluminum",13272,0,7,Q,13278
   331410,   Nonferrous Metal (except Aluminum) Smelting and Refining,7887,0,*,*,7887
 3315, Foundries,10766,0,20,1,10785
   331511,   Iron Foundries,5196,0,9,0,5206
   331523,   Nonferrous Metal Die-Casting Foundries,2078,0,*,*,2078
   331524,"   Aluminum Foundries, except Die-Casting",788,0,*,0,788
332,Fabricated Metal Products,36063,*,Q,Q,36281
333,Machinery,23569,0,311,70,23810
334,Computer and Electronic Products,22186,Q,60,9,22245
   334413,   Semiconductors and Related Devices,11613,0,7,6,11614
335,"Electrical Equip., Appliances, and Components",11037,0,46,*,11083
336,Transportation Equipment,50462,*,497,67,50891
   336111,   Automobiles,4024,0,79,1,4101
   336112,   Light Trucks and Utility Vehicles,4233,0,57,0,4290
 3364, Aerospace Product and Parts,9699,*,313,62,9950
   336411,   Aircraft,2721,*,1,*,2722
337,Furniture and Related Products,4669,*,Q,0,4756
339,Miscellaneous,9547,0,Q,Q,9578
,Total,778396,7017,136187,27125,894476
,,,,,,
,,Northeast Census Region,,,,
311,Food,7833,Q,144,23,7957
 3112, Grain and Oilseed Milling,497,0,*,0,497
   311221,   Wet Corn Milling,15,0,0,0,15
  31131,  Sugar Manufacturing,4,0,40,0,44
 3114, Fruit and Vegetable Preserving and Specialty Food ,787,0,92,5,874
 3115, Dairy Product,1467,0,9,18,1459
 3116, Animal Slaughtering and Processing,1096,Q,Q,*,1101
312,Beverage and Tobacco Products,1674,0,25,0,1699
 3121, Beverages,1647,0,25,0,1672
 3122, Tobacco ,28,0,0,0,28
313,Textile Mills,568,2,70,Q,639
314,Textile Product Mills,305,0,Q,0,322
315,Apparel,151,0,0,0,151
316,Leather and Allied Products,49,0,0,0,49
321,Wood Products,1488,0,37,2,1522
   321113,   Sawmills,381,0,15,2,394
 3212," Veneer, Plywood, and Engineered Woods",269,0,19,0,289
   321219,   Reconstituted Wood Products,196,0,19,0,216
 3219, Other Wood Products,816,0,2,*,818
322,Paper,5879,9,5295,1615,9569
   322110,   Pulp Mills,D,0,664,111,D
   322121,"   Paper Mills, except Newsprint",2392,9,4472,1493,5380
   322122,   Newsprint Mills,0,0,0,0,0
   322130,   Paperboard Mills,1459,0,154,8,1606
323,Printing and Related Support,1582,0,Q,0,1588
324,Petroleum and Coal Products,2611,0,590,0,3201
   324110,   Petroleum Refineries,2119,0,578,0,2697
   324121,   Asphalt Paving Mixture and Block,281,0,*,0,281
   324122,   Asphalt Shingle and Coating Materials,90,0,0,0,90
   324191,   Petroleum Lubricating Oil and Grease Products,45,0,0,0,45
   324199,   Other Petroleum and Coal Products,76,0,12,0,88
